,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,1 linijki odstepu,2 linijki odstepu
20,Sebastian3,java,GlebaKamienista.java,2023-10-03,2023-05-16,13,30,275,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,gestoscMinimalna,252,13,9,2.0
21,Sebastian3,java,GlebaNiekamienista.java,2023-10-03,2023-05-16,12,24,237,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,GlebaNiekamienista,217,12,6,3.0
22,Sebastian3,java,Piasek.java,2023-10-03,2023-05-16,31,74,601,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,1,1,0,0,1,0,1,0,0,0,0,2,0,nieodpowiednia,545,31,21,5.0
23,Sebastian3,java,PodmoklaLaka.java,2023-10-03,2023-05-16,8,13,144,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PodmoklaLaka,131,8,4,2.0
24,Sebastian3,java,Sypkosc.java,2023-10-03,2023-05-16,5,10,101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,93,5,3,1.0
25,Sebastian3,java,Teren.java,2023-10-03,2023-05-16,10,20,218,0,0,0,0,0,0,3,1,3,0,0,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,protected,200,10,8,1.0
26,Sebastian3,java,TerenWodny.java,2023-10-03,2023-05-16,9,13,142,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TerenWodny,127,9,5,2.0
27,Sebastian3,java,WodnistyTeren.java,2023-10-03,2023-05-16,34,80,684,1,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,2,1,1,0,0,1,0,1,0,0,0,0,2,0,nieodpowiednia,622,34,24,5.0
28,Sebastian3,java,Bocian.java,2023-10-03,2023-05-16,18,28,294,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,package,263,18,10,4.0
29,Sebastian3,java,Jantar_2.java,2023-10-03,2023-05-16,14,29,292,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,package,269,14,6,4.0
30,Sebastian3,java,Szybowiec.java,2023-10-03,2023-05-16,63,163,1319,0,0,0,0,2,0,4,4,0,0,0,0,1,0,0,3,0,0,2,2,0,0,1,0,0,0,0,2,9,2,0,0,0,2,0,1,0,0,0,0,4,0,przesunieto,1198,63,55,4.0
31,Sebastian3,java,Demonstrator.java,2023-10-03,2023-05-16,10,19,174,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Demonstrator,159,10,2,4.0
32,Sebastian3,java,Bagaz.java,2023-10-03,2023-05-16,16,30,241,0,0,0,0,0,1,2,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,protected,213,16,10,3.0
