,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu
32,Sebastian2,java,KebabParser.java,2023-10-03,2023-05-22,52,123,1662,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,4,1,1,3,0,3,9,0,1,0,0,0,0,4,0,NieznanyRodzajMiesaException,1568,52,9,34,
33,Sebastian2,java,NieznanyRodzajMiesaException.java,2023-10-03,2023-05-22,9,24,229,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,NieznanyRodzajMiesaException,214,9,2,5,
34,Sebastian2,java,KebabProcessor.java,2023-10-03,2023-05-22,37,98,1082,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,6,0,1,0,0,0,0,0,2,getSuitableKebabs,1014,37,5,27,
35,Sebastian2,java,Demonstrator.java,2023-10-03,2023-04-24,12,22,167,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Demonstrator,149,11,4,3,
36,Sebastian2,java,ElementKieszeni.java,2023-10-03,2023-04-24,7,17,143,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,ElementKieszeni,133,6,2,2,
37,Sebastian2,java,Granat.java,2023-10-03,2023-04-24,15,28,241,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ElementKieszeni,218,14,5,4,
38,Sebastian2,java,Guzik.java,2023-10-03,2023-04-24,31,67,492,0,0,0,0,3,1,4,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,3,0,5,0,0,1,0,1,0,0,0,0,0,0,ElementKieszeni,439,30,7,16,
39,Sebastian2,java,KartkaZAdresem.java,2023-10-03,2023-04-24,32,74,636,0,0,0,0,3,0,4,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,3,0,5,0,0,1,0,1,0,0,0,0,0,0,ElementKieszeni,581,31,7,17,
40,Sebastian2,java,Klient.java,2023-10-03,2023-04-24,37,63,908,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,PodmiotPioracy,843,36,7,22,
41,Sebastian2,java,Certyfikat.java,2023-10-03,2023-04-24,16,25,218,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,Certyfikat,193,15,5,5,
