,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
658,Malgosia,java,Truck.java,2023-11-20,2023-11-20,17,29,305,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,driversCabin,279,17.0,7.0,3.0,,,,,,
659,Malgosia,java,Generator.java,2023-11-11,2023-11-11,50,149,2026,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,56,0,Generator,1940,50.0,6.0,28.0,2.0,,1.0,,,
660,Malgosia,java,Main.java,2023-11-11,2023-11-11,78,164,3183,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,2,0,1,0,0,0,0,0,0,StrumienieImpl,3043,77.0,14.0,49.0,,,,,,
661,Malgosia,java,NapedzanyStatekPowietrzny.java,2023-11-11,2023-11-11,54,150,1557,0,0,0,0,1,0,7,2,1,1,0,0,0,1,0,5,1,0,3,1,0,1,1,0,0,0,1,0,5,0,10,0,0,0,0,1,0,0,0,0,6,0,NapedzanyStatekPowietrzny,1459,54.0,9.0,36.0,,,,,,
662,Malgosia,java,Samolot.java,2023-11-11,2023-11-11,56,175,1653,0,0,0,0,1,0,7,2,0,1,0,0,0,0,0,6,1,0,2,1,0,1,1,0,0,0,1,0,5,0,10,0,0,0,0,1,0,0,0,0,14,0,NapedzanyStatekPowietrzny,1551,56.0,9.0,38.0,,,,,,
663,Malgosia,java,Smiglowiec.java,2023-11-11,2023-11-11,46,142,1375,0,0,0,0,1,0,6,1,0,1,0,0,0,0,0,5,1,0,2,1,0,1,1,0,0,0,1,0,4,0,8,0,0,0,0,1,0,0,0,0,12,0,NapedzanyStatekPowietrzny,1293,45.0,8.0,29.0,,,,,,
664,Malgosia,java,Spadochron.java,2023-11-11,2023-11-11,51,152,1571,0,0,0,0,1,0,6,2,0,1,0,0,0,0,0,5,1,0,2,1,0,1,1,0,0,0,1,0,5,0,9,0,0,0,0,1,0,0,0,0,10,0,dopuszczalnaMasaSkoczka,1479,50.0,8.0,34.0,,,,,,
665,Malgosia,java,StatekPowietrzny.java,2023-11-11,2023-11-11,58,160,1297,0,0,0,0,4,0,8,2,1,1,0,0,1,1,0,4,0,0,0,1,0,3,1,0,0,0,0,0,7,1,11,0,0,0,0,1,0,0,0,0,6,0,StatekPowietrzny,1192,58.0,10.0,38.0,,,,,,
666,Malgosia,java,Strumienie.java,2023-11-11,2023-11-11,25,37,881,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,StatekPowietrzny,840,25.0,6.0,10.0,1.0,,,,,
667,Malgosia,java,StrumienieImpl.java,2023-11-11,2023-11-12,112,266,4260,0,2,0,0,0,1,14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,6,0,1,0,0,0,0,2,0,StatekPowietrzny,4058,112.0,19.0,71.0,1.0,,,,,
668,Malgosia,java,Szybowiec.java,2023-11-11,2023-11-11,50,142,1363,0,0,0,0,1,0,6,2,0,1,0,0,0,0,0,7,0,0,0,1,0,1,1,0,0,0,1,0,5,0,9,0,0,0,0,1,0,0,0,0,10,0,predkoscDopuszczalna,1273,50.0,7.0,33.0,1.0,,,,,
669,Malgosia,java,Main.java,2023-11-27,2023-11-27,149,270,4168,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,0,0,5,0,6,6,0,97,6,0,0,16,0,Annotation,3916,149.0,28.0,71.0,4.0,,,,,1.0
