,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
135,Malgosia,java,Muchomor.java,2023-04-01,2023-04-01,55,131,1170,0,0,0,0,3,3,10,0,1,0,0,0,4,1,0,3,0,0,0,0,0,1,1,0,0,0,0,1,3,2,4,0,0,1,0,1,0,0,0,0,8,0,wybranieTwardosci,1069,55.0,8.0,39.0,,,,,,
136,Malgosia,java,NietoksycznyMuchomor.java,2023-04-01,2023-04-01,15,23,251,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NietoksycznyMuchomor,224,15.0,2.0,11.0,,,,,,
137,Malgosia,java,Sromotnikowy.java,2023-04-01,2023-04-01,10,21,258,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Sromotnikowy,240,10.0,1.0,8.0,,,,,,
138,Malgosia,java,Szarawy.java,2023-04-01,2023-04-01,28,58,532,0,0,0,0,1,1,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,3,0,0,0,0,1,0,0,0,0,2,0,package,478,28.0,1.0,26.0,,,,,,
139,Malgosia,java,Toksycznosc.java,2023-04-01,2023-04-01,5,11,122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Toksycznosc,114,5.0,1.0,3.0,,,,,,
140,Malgosia,java,ToksycznyMuchomor.java,2023-04-01,2023-04-01,14,24,240,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ToksycznyMuchomor,214,14.0,1.0,12.0,,,,,,
141,Malgosia,java,Twardosc.java,2023-04-01,2023-04-01,5,10,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Twardosc,92,5.0,1.0,3.0,,,,,,
142,Malgosia,java,Adit.java,2023-04-03,2023-04-03,74,221,1793,0,0,0,0,2,6,3,1,0,0,0,0,2,0,0,9,0,0,1,0,0,2,1,0,0,0,0,7,5,2,1,0,0,1,0,1,0,0,0,0,12,0,protected,1648,74.0,2.0,70.0,,,,,,
143,Malgosia,java,Chalkolit.java,2023-04-03,2023-04-03,15,21,234,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Chalkolit,207,15.0,2.0,11.0,,,,,,
144,Malgosia,java,Forma.java,2023-04-03,2023-04-03,11,20,182,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,162,11.0,1.0,9.0,,,,,,
145,Malgosia,java,Gornik.java,2023-04-03,2023-04-03,24,72,578,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,protected,532,24.0,1.0,22.0,,,,,,
146,Malgosia,java,Main.java,2023-04-03,2023-04-03,12,24,235,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,213,12.0,1.0,10.0,,,,,,
147,Malgosia,java,MineryObjectEvaluator.java,2023-04-03,2023-04-03,9,15,156,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,MineryObjectEvaluator,141,9.0,2.0,5.0,,,,,,
148,Malgosia,java,ObiektyKopalne.java,2023-04-03,2023-04-03,19,31,388,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ObiektyKopalne,354,19.0,3.0,13.0,,,,,,
149,Malgosia,java,ObiektyRadioaktywne.java,2023-04-03,2023-04-03,24,44,482,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,ObiektyRadioaktywne,440,24.0,5.0,14.0,,,,,,
